"  Homework"

"Time      "	".MARKER_25.Translational_Displacement.X"	".MARKER_25.Translational_Displacement.Y"	".MARKER_25.Translational_Velocity.Y"	".MARKER_25.Translational_Velocity.X"	".MARKER_25.Translational_Acceleration.X"	".MARKER_25.Translational_Acceleration.Y"
0.000000e+00	1.900000e+00	7.000000e-01	-4.757194e-01	-8.916059e-03	-9.506181e-02	-2.740859e-02
5.000000e-02	1.899436e+00	6.762008e-01	-4.758254e-01	-1.362895e-02	-9.311508e-02	2.320196e-02
1.000000e-01	1.898640e+00	6.524597e-01	-4.733973e-01	-1.819403e-02	-8.915744e-02	7.393284e-02
1.500000e-01	1.897621e+00	6.289034e-01	-4.684326e-01	-2.251232e-02	-8.325795e-02	1.246360e-01
2.000000e-01	1.896394e+00	6.056586e-01	-4.609364e-01	-2.648918e-02	-7.552101e-02	1.751764e-01
2.500000e-01	1.894979e+00	5.828518e-01	-4.509198e-01	-3.003606e-02	-6.608397e-02	2.254273e-01
3.000000e-01	1.893399e+00	5.606084e-01	-4.384006e-01	-3.307203e-02	-5.511461e-02	2.752632e-01
3.500000e-01	1.891681e+00	5.390530e-01	-4.234026e-01	-3.552524e-02	-4.280888e-02	3.245510e-01
4.000000e-01	1.889857e+00	5.183089e-01	-4.059571e-01	-3.733433e-02	-2.938870e-02	3.731385e-01
4.500000e-01	1.887960e+00	4.984974e-01	-3.861035e-01	-3.844962e-02	-1.510020e-02	4.208415e-01
5.000000e-01	1.886024e+00	4.797379e-01	-3.638915e-01	-3.883434e-02	-2.121027e-04	4.674298e-01
5.500000e-01	1.884089e+00	4.621466e-01	-3.393839e-01	-3.846566e-02	1.498589e-02	5.126135e-01
6.000000e-01	1.882191e+00	4.458364e-01	-3.126595e-01	-3.733573e-02	3.018501e-02	5.560316e-01
6.500000e-01	1.880368e+00	4.309159e-01	-2.838174e-01	-3.545255e-02	4.506032e-02	5.972449e-01
7.000000e-01	1.878657e+00	4.174880e-01	-2.529804e-01	-3.284070e-02	5.927499e-02	6.357357e-01
7.500000e-01	1.877095e+00	4.056486e-01	-2.202990e-01	-2.954176e-02	7.248682e-02	6.709171e-01
8.000000e-01	1.875714e+00	3.954858e-01	-1.859544e-01	-2.561438e-02	8.435729e-02	7.021537e-01
8.500000e-01	1.874543e+00	3.870774e-01	-1.501603e-01	-2.113379e-02	9.456336e-02	7.287926e-01
9.000000e-01	1.873608e+00	3.804898e-01	-1.131623e-01	-1.619070e-02	1.028115e-01	7.502058e-01
9.500000e-01	1.872930e+00	3.757766e-01	-7.523610e-02	-1.088946e-02	1.088529e-01	7.658377e-01
1.000000e+00	1.872523e+00	3.729767e-01	-3.668224e-02	-5.345388e-03	1.124984e-01	7.752523e-01
1.050000e+00	1.872397e+00	3.721136e-01	2.180813e-03	3.184520e-04	1.136308e-01	7.781744e-01
1.100000e+00	1.872555e+00	3.731945e-01	4.102542e-02	5.975146e-03	1.122133e-01	7.745165e-01
1.150000e+00	1.872993e+00	3.762103e-01	7.952452e-02	1.149801e-02	1.082920e-01	7.643880e-01
1.200000e+00	1.873700e+00	3.811359e-01	1.173612e-01	1.676467e-02	1.019926e-01	7.480838e-01
1.250000e+00	1.874663e+00	3.879304e-01	1.542374e-01	2.166087e-02	9.351164e-02	7.260553e-01
1.300000e+00	1.875859e+00	3.965391e-01	1.898807e-01	2.608369e-02	8.310371e-02	6.988689e-01
1.350000e+00	1.877262e+00	4.068939e-01	2.240489e-01	2.994407e-02	7.106639e-02	6.671577e-01
1.400000e+00	1.878842e+00	4.189158e-01	2.565320e-01	3.316859e-02	5.772514e-02	6.315743e-01
1.450000e+00	1.880567e+00	4.325160e-01	2.871523e-01	3.570051e-02	4.341942e-02	5.927503e-01
1.500000e+00	1.882400e+00	4.475976e-01	3.157627e-01	3.750016e-02	2.849122e-02	5.512655e-01
1.550000e+00	1.884305e+00	4.640568e-01	3.422431e-01	3.854486e-02	1.327632e-02	5.076290e-01
1.600000e+00	1.886242e+00	4.817848e-01	3.664970e-01	3.882841e-02	-1.901969e-03	4.622713e-01
1.650000e+00	1.888175e+00	5.006681e-01	3.884474e-01	3.836040e-02	-1.673690e-02	4.155448e-01
1.700000e+00	1.890066e+00	5.205901e-01	4.080334e-01	3.716525e-02	-3.094103e-02	3.677322e-01
1.750000e+00	1.891880e+00	5.414312e-01	4.252063e-01	3.528126e-02	-4.424810e-02	3.190577e-01
1.800000e+00	1.893583e+00	5.630699e-01	4.399278e-01	3.275946e-02	-5.641461e-02	2.697014e-01
