"  Homework"

"Time      "	".MARKER_17.Translational_Displacement.X"	".MARKER_17.Translational_Displacement.Y"	".MARKER_17.Translational_Velocity.Y"	".MARKER_17.Translational_Velocity.X"	".MARKER_17.Translational_Acceleration.X"	".MARKER_17.Translational_Acceleration.Y"
0.000000e+00	9.000000e-01	6.000000e-01	-2.267949e-01	-2.644100e-02	-5.503029e-02	-4.159469e-03
5.000000e-02	8.986104e-01	5.886653e-01	-2.263886e-01	-2.911752e-02	-5.183757e-02	2.040025e-02
1.000000e-01	8.970914e-01	5.773816e-01	-2.247570e-01	-3.160562e-02	-4.749737e-02	4.483478e-02
1.500000e-01	8.954539e-01	5.662099e-01	-2.219087e-01	-3.384872e-02	-4.204539e-02	6.905156e-02
2.000000e-01	8.937115e-01	5.552108e-01	-2.178569e-01	-3.579254e-02	-3.553708e-02	9.296639e-02
2.500000e-01	8.918805e-01	5.444440e-01	-2.126184e-01	-3.738605e-02	-2.804692e-02	1.165022e-01
3.000000e-01	8.899795e-01	5.339683e-01	-2.062141e-01	-3.858241e-02	-1.966779e-02	1.395871e-01
3.500000e-01	8.880296e-01	5.238416e-01	-1.986684e-01	-3.933985e-02	-1.051053e-02	1.621511e-01
4.000000e-01	8.860535e-01	5.141201e-01	-1.900089e-01	-3.962262e-02	-7.036663e-04	1.841221e-01
4.500000e-01	8.840757e-01	5.048587e-01	-1.802674e-01	-3.940182e-02	9.606691e-03	2.054216e-01
5.000000e-01	8.821220e-01	4.961108e-01	-1.694794e-01	-3.865628e-02	2.025688e-02	2.259593e-01
5.500000e-01	8.802190e-01	4.879275e-01	-1.576859e-01	-3.737347e-02	3.106583e-02	2.456278e-01
6.000000e-01	8.783937e-01	4.803582e-01	-1.449333e-01	-3.555034e-02	4.183570e-02	2.642982e-01
6.500000e-01	8.766729e-01	4.734493e-01	-1.312753e-01	-3.319410e-02	5.235332e-02	2.818168e-01
7.000000e-01	8.750829e-01	4.672447e-01	-1.167738e-01	-3.032297e-02	6.239307e-02	2.980044e-01
7.500000e-01	8.736487e-01	4.617848e-01	-1.015004e-01	-2.696665e-02	7.172148e-02	3.126588e-01
8.000000e-01	8.723936e-01	4.571062e-01	-8.553709e-02	-2.316659e-02	8.010404e-02	3.255614e-01
8.500000e-01	8.713385e-01	4.532410e-01	-6.897718e-02	-1.897580e-02	8.731421e-02	3.364873e-01
9.000000e-01	8.705015e-01	4.502167e-01	-5.192493e-02	-1.445819e-02	9.314410e-02	3.452202e-01
9.500000e-01	8.698969e-01	4.480549e-01	-3.449493e-02	-9.687370e-03	9.741628e-02	3.515682e-01
1.000000e+00	8.695356e-01	4.467714e-01	-1.681039e-02	-4.744812e-03	9.999511e-02	3.553806e-01
1.050000e+00	8.694239e-01	4.463759e-01	9.992554e-04	2.824819e-04	1.007963e-01	3.565623e-01
1.100000e+00	8.695638e-01	4.468712e-01	1.880145e-02	5.304720e-03	9.979343e-02	3.550830e-01
1.150000e+00	8.699528e-01	4.482537e-01	3.646380e-02	1.023228e-02	9.701957e-02	3.509805e-01
1.200000e+00	8.705840e-01	4.505131e-01	5.385744e-02	1.497864e-02	9.256516e-02	3.443567e-01
1.250000e+00	8.714463e-01	4.536329e-01	7.086003e-02	1.946311e-02	8.657104e-02	3.353679e-01
1.300000e+00	8.725247e-01	4.575907e-01	8.735806e-02	2.361309e-02	7.921866e-02	3.242093e-01
1.350000e+00	8.738009e-01	4.623586e-01	1.032484e-01	2.736584e-02	7.071856e-02	3.110992e-01
1.400000e+00	8.752538e-01	4.679039e-01	1.184392e-01	3.066961e-02	6.129869e-02	2.962622e-01
1.450000e+00	8.768597e-01	4.741895e-01	1.328495e-01	3.348429e-02	5.119385e-02	2.799157e-01
1.500000e+00	8.785936e-01	4.811747e-01	1.464089e-01	3.578147e-02	4.063692e-02	2.622595e-01
1.550000e+00	8.804290e-01	4.888152e-01	1.590566e-01	3.754419e-02	2.985232e-02	2.434701e-01
1.600000e+00	8.823390e-01	4.970642e-01	1.707396e-01	3.876644e-02	1.905162e-02	2.236981e-01
1.650000e+00	8.842967e-01	5.058723e-01	1.814121e-01	3.945237e-02	8.430837e-03	2.030701e-01
1.700000e+00	8.862755e-01	5.151879e-01	1.910341e-01	3.961552e-02	-1.830901e-03	1.816910e-01
1.750000e+00	8.882499e-01	5.249576e-01	1.995702e-01	3.927796e-02	-1.157189e-02	1.596498e-01
1.800000e+00	8.901955e-01	5.351263e-01	2.069893e-01	3.846942e-02	-2.064800e-02	1.370240e-01
1.850000e+00	8.920896e-01	5.456375e-01	2.132641e-01	3.722636e-02	-2.893266e-02	1.138851e-01
1.900000e+00	8.939116e-01	5.564333e-01	2.183705e-01	3.559117e-02	-3.631705e-02	9.030308e-02
1.950000e+00	8.956430e-01	5.674547e-01	2.222882e-01	3.361119e-02	-4.271031e-02	6.635045e-02
2.000000e+00	8.972678e-01	5.786420e-01	2.250006e-01	3.133787e-02	-4.804006e-02	4.210493e-02
2.050000e+00	8.987728e-01	5.899345e-01	2.264952e-01	2.882581e-02	-5.225304e-02	1.765159e-02
2.100000e+00	9.001473e-01	6.012711e-01	2.267639e-01	2.613175e-02	-5.531578e-02	-6.915998e-03
2.150000e+00	9.013839e-01	6.125904e-01	2.258034e-01	2.331363e-02	-5.721528e-02	-3.149537e-02
2.200000e+00	9.024776e-01	6.238310e-01	2.236160e-01	2.042949e-02	-5.795953e-02	-5.597545e-02
2.250000e+00	9.034267e-01	6.349317e-01	2.202095e-01	1.753645e-02	-5.757782e-02	-8.023735e-02
2.300000e+00	9.042320e-01	6.458318e-01	2.155980e-01	1.468964e-02	-5.612070e-02	-1.041556e-01
2.350000e+00	9.048973e-01	6.564717e-01	2.098018e-01	1.194113e-02	-5.365959e-02	-1.275999e-01
2.400000e+00	9.054286e-01	6.667927e-01	2.028481e-01	9.338903e-03	-5.028588e-02	-1.504365e-01
2.450000e+00	9.058343e-01	6.767378e-01	1.947706e-01	6.925925e-03	-4.610958e-02	-1.725306e-01
