"  Homework"

"Time      "	".cm.Translational_Displacement.X"	".cm.Translational_Displacement.Y"	".cm.Translational_Velocity.Y"	".cm.Translational_Velocity.X"	".cm.Translational_Acceleration.X"	".cm.Translational_Acceleration.Y"
0.000000e+00	8.500000e-01	5.500000e-01	-2.141952e-01	-3.904071e-02	-5.247300e-02	-3.666391e-04
5.000000e-02	8.479842e-01	5.392995e-01	-2.136335e-01	-4.155505e-02	-4.791805e-02	2.280988e-02
1.000000e-01	8.458487e-01	5.286559e-01	-2.119174e-01	-4.381449e-02	-4.228180e-02	4.579219e-02
1.500000e-01	8.436078e-01	5.181268e-01	-2.090589e-01	-4.576588e-02	-3.560462e-02	6.849434e-02
2.000000e-01	8.412781e-01	5.077688e-01	-2.050740e-01	-4.735857e-02	-2.794512e-02	9.083964e-02
2.500000e-01	8.388788e-01	4.976378e-01	-1.999821e-01	-4.854528e-02	-1.937951e-02	1.127595e-01
3.000000e-01	8.364311e-01	4.877886e-01	-1.938061e-01	-4.928296e-02	-1.000113e-02	1.341914e-01
3.500000e-01	8.339586e-01	4.782748e-01	-1.865721e-01	-4.953367e-02	7.985434e-05	1.550758e-01
4.000000e-01	8.314864e-01	4.691486e-01	-1.783087e-01	-4.926537e-02	1.073651e-02	1.753525e-01
4.500000e-01	8.290411e-01	4.604606e-01	-1.690480e-01	-4.845281e-02	2.182500e-02	1.949564e-01
5.000000e-01	8.266505e-01	4.522598e-01	-1.588255e-01	-4.707835e-02	3.318431e-02	2.138120e-01
5.500000e-01	8.243428e-01	4.445934e-01	-1.476808e-01	-4.513283e-02	4.463616e-02	2.318292e-01
6.000000e-01	8.221467e-01	4.375064e-01	-1.356584e-01	-4.261644e-02	5.598527e-02	2.488982e-01
6.500000e-01	8.200905e-01	4.310414e-01	-1.228090e-01	-3.953952e-02	6.702066e-02	2.648867e-01
7.000000e-01	8.182018e-01	4.252383e-01	-1.091903e-01	-3.592333e-02	7.751822e-02	2.796391e-01
7.500000e-01	8.165066e-01	4.201341e-01	-9.486859e-02	-3.180054e-02	8.724528e-02	2.929782e-01
8.000000e-01	8.150294e-01	4.157619e-01	-7.991925e-02	-2.721556e-02	9.596734e-02	3.047113e-01
8.500000e-01	8.137918e-01	4.121512e-01	-6.442754e-02	-2.222436e-02	1.034572e-01	3.146395e-01
9.000000e-01	8.128126e-01	4.093266e-01	-4.848859e-02	-1.689387e-02	1.095059e-01	3.225705e-01
9.500000e-01	8.121068e-01	4.073080e-01	-3.220665e-02	-1.130079e-02	1.139345e-01	3.283332e-01
1.000000e+00	8.116855e-01	4.061098e-01	-1.569368e-02	-5.529729e-03	1.166064e-01	3.317933e-01
1.050000e+00	8.115553e-01	4.057406e-01	9.328459e-04	3.291147e-04	1.174363e-01	3.328656e-01
1.100000e+00	8.117183e-01	4.062030e-01	1.755260e-02	6.182721e-03	1.163975e-01	3.315232e-01
1.150000e+00	8.121720e-01	4.074937e-01	3.404545e-02	1.193824e-02	1.135234e-01	3.277997e-01
1.200000e+00	8.129090e-01	4.096034e-01	5.029438e-02	1.750597e-02	1.089055e-01	3.217864e-01
1.250000e+00	8.139180e-01	4.125172e-01	6.618823e-02	2.280207e-02	1.026857e-01	3.136226e-01
1.300000e+00	8.151834e-01	4.162146e-01	8.162369e-02	2.775087e-02	9.504686e-02	3.034822e-01
1.350000e+00	8.166862e-01	4.206704e-01	9.650674e-02	3.228662e-02	8.620061e-02	2.915592e-01
1.400000e+00	8.184043e-01	4.258547e-01	1.107532e-01	3.635461e-02	7.637547e-02	2.780522e-01
1.450000e+00	8.203132e-01	4.317338e-01	1.242888e-01	3.991177e-02	6.580615e-02	2.631529e-01
1.500000e+00	8.223864e-01	4.382706e-01	1.370482e-01	4.292670e-02	5.472465e-02	2.470359e-01
1.550000e+00	8.245965e-01	4.454248e-01	1.489746e-01	4.537942e-02	4.335379e-02	2.298545e-01
1.600000e+00	8.269149e-01	4.531534e-01	1.600181e-01	4.726075e-02	3.190291e-02	2.117383e-01
1.650000e+00	8.293130e-01	4.614111e-01	1.701347e-01	4.857161e-02	2.056541e-02	1.927946e-01
1.700000e+00	8.317627e-01	4.701507e-01	1.792852e-01	4.932213e-02	9.517631e-03	1.731118e-01
1.750000e+00	8.342362e-01	4.793230e-01	1.874348e-01	4.953086e-02	-1.081340e-03	1.527638e-01
1.800000e+00	8.367072e-01	4.888770e-01	1.945516e-01	4.922385e-02	-1.108957e-02	1.318151e-01
1.850000e+00	8.391505e-01	4.987604e-01	2.006073e-01	4.843384e-02	-2.038202e-02	1.103255e-01
1.900000e+00	8.415431e-01	5.089196e-01	2.055761e-01	4.719940e-02	-2.885039e-02	8.835475e-02
1.950000e+00	8.438638e-01	5.192996e-01	2.094358e-01	4.556407e-02	-3.640324e-02	6.596589e-02
2.000000e+00	8.460937e-01	5.298444e-01	2.121669e-01	4.357558e-02	-4.296632e-02	4.322837e-02
2.050000e+00	8.482163e-01	5.404972e-01	2.137541e-01	4.128489e-02	-4.848303e-02	2.021983e-02
2.100000e+00	8.502180e-01	5.512005e-01	2.141858e-01	3.874536e-02	-5.291507e-02	-2.972678e-03
2.150000e+00	8.520876e-01	5.618964e-01	2.134554e-01	3.601179e-02	-5.624308e-02	-2.625230e-02
