"  Homework"

"Time      "	".cm.Translational_Displacement.X"	".cm.Translational_Displacement.Y"	".cm.Translational_Velocity.X"	".cm.Translational_Velocity.Y"	".cm.Translational_Acceleration.X"	".cm.Translational_Acceleration.Y"
0.000000e+00	9.500000e-01	7.000000e-01	-3.458639e-03	-2.382861e-01	-5.041689e-02	-1.306853e-02
5.000000e-02	9.497643e-01	6.880800e-01	-5.964021e-03	-2.383022e-01	-4.961844e-02	1.243827e-02
1.000000e-01	9.494047e-01	6.761911e-01	-8.402632e-03	-2.370415e-01	-4.774959e-02	3.799239e-02
1.500000e-01	9.489260e-01	6.643971e-01	-1.072165e-02	-2.345036e-01	-4.484135e-02	6.351126e-02
2.000000e-01	9.483354e-01	6.527619e-01	-1.287027e-02	-2.306922e-01	-4.094375e-02	8.891883e-02
2.500000e-01	9.476426e-01	6.413490e-01	-1.480066e-02	-2.256147e-01	-3.612478e-02	1.141436e-01
3.000000e-01	9.468597e-01	6.302214e-01	-1.646879e-02	-2.192821e-01	-3.046926e-02	1.391155e-01
3.500000e-01	9.460008e-01	6.194415e-01	-1.783531e-02	-2.117086e-01	-2.407782e-02	1.637621e-01
4.000000e-01	9.450818e-01	6.090709e-01	-1.886623e-02	-2.029126e-01	-1.706592e-02	1.880031e-01
4.500000e-01	9.441202e-01	5.991702e-01	-1.953371e-02	-1.929166e-01	-9.563037e-03	2.117442e-01
5.000000e-01	9.431348e-01	5.897988e-01	-1.981672e-02	-1.817484e-01	-1.711891e-03	2.348710e-01
5.500000e-01	9.421452e-01	5.810144e-01	-1.970167e-02	-1.694421e-01	6.332346e-03	2.572422e-01
6.000000e-01	9.411714e-01	5.728728e-01	-1.918304e-02	-1.560397e-01	1.440312e-02	2.786842e-01
6.500000e-01	9.402335e-01	5.654278e-01	-1.826385e-02	-1.415926e-01	2.232410e-02	2.989873e-01
7.000000e-01	9.393515e-01	5.587299e-01	-1.695618e-02	-1.261640e-01	2.991164e-02	3.179058e-01
7.500000e-01	9.385441e-01	5.528265e-01	-1.528137e-02	-1.098297e-01	3.697847e-02	3.351621e-01
8.000000e-01	9.378289e-01	5.477606e-01	-1.327011e-02	-9.268048e-02	4.333884e-02	3.504557e-01
8.500000e-01	9.372220e-01	5.435703e-01	-1.096223e-02	-7.482203e-02	4.881514e-02	3.634783e-01
9.000000e-01	9.367369e-01	5.402882e-01	-8.406042e-03	-5.637546e-02	5.324579e-02	3.739335e-01
9.500000e-01	9.363846e-01	5.379403e-01	-5.657381e-03	-3.747588e-02	5.649371e-02	3.815588e-01
1.000000e+00	9.361733e-01	5.365457e-01	-2.778144e-03	-1.827021e-02	5.845460e-02	3.861485e-01
1.050000e+00	9.361079e-01	5.361158e-01	1.655276e-04	1.086162e-03	5.906389e-02	3.875727e-01
1.100000e+00	9.361898e-01	5.366542e-01	3.105354e-03	2.043355e-02	5.830124e-02	3.857899e-01
1.150000e+00	9.364172e-01	5.381563e-01	5.973185e-03	3.961252e-02	5.619207e-02	3.808519e-01
1.200000e+00	9.367848e-01	5.406100e-01	8.703253e-03	5.846843e-02	5.280571e-02	3.728979e-01
1.250000e+00	9.372842e-01	5.439954e-01	1.123426e-02	7.685556e-02	4.825050e-02	3.621410e-01
1.300000e+00	9.379040e-01	5.482855e-01	1.351115e-02	9.464026e-02	4.266668e-02	3.488486e-01
1.350000e+00	9.386303e-01	5.534473e-01	1.548650e-02	1.117031e-01	3.621806e-02	3.333197e-01
1.400000e+00	9.394470e-01	5.594421e-01	1.712152e-02	1.279401e-01	2.908354e-02	3.158625e-01
1.450000e+00	9.403363e-01	5.662261e-01	1.838653e-02	1.432622e-01	2.144933e-02	2.967754e-01
1.500000e+00	9.412791e-01	5.737518e-01	1.926124e-02	1.575951e-01	1.350253e-02	2.763330e-01
1.550000e+00	9.422557e-01	5.819681e-01	1.973463e-02	1.708770e-01	5.426118e-03	2.547772e-01
1.600000e+00	9.432458e-01	5.908211e-01	1.980462e-02	1.830577e-01	-2.604564e-03	2.323132e-01
1.650000e+00	9.442295e-01	6.002548e-01	1.947769e-02	1.940960e-01	-1.042417e-02	2.091111e-01
1.700000e+00	9.451872e-01	6.102111e-01	1.876829e-02	2.039588e-01	-1.787888e-02	1.853087e-01
1.750000e+00	9.461003e-01	6.206306e-01	1.769825e-02	2.126188e-01	-2.482742e-02	1.610179e-01
1.800000e+00	9.469515e-01	6.314526e-01	1.629613e-02	2.200540e-01	-3.114185e-02	1.363310e-01
1.850000e+00	9.477250e-01	6.426153e-01	1.459654e-02	2.262466e-01	-3.670831e-02	1.113272e-01
1.900000e+00	9.484069e-01	6.540563e-01	1.263942e-02	2.311826e-01	-4.142792e-02	8.607850e-02
1.950000e+00	9.489854e-01	6.657125e-01	1.046925e-02	2.348515e-01	-4.521767e-02	6.065484e-02
2.000000e+00	9.494511e-01	6.775202e-01	8.134261e-03	2.372464e-01	-4.801155e-02	3.512812e-02
2.050000e+00	9.497969e-01	6.894158e-01	5.685508e-03	2.383639e-01	-4.976160e-02	9.575064e-03
2.100000e+00	9.500186e-01	7.013353e-01	3.175990e-03	2.382048e-01	-5.043899e-02	-1.592096e-02
2.150000e+00	9.501144e-01	7.132151e-01	6.596434e-04	2.367743e-01	-5.003498e-02	-4.126894e-02
2.200000e+00	9.500853e-01	7.249917e-01	-1.809674e-03	2.340821e-01	-4.856160e-02	-6.637012e-02
2.250000e+00	9.499351e-01	7.366025e-01	-4.179235e-03	2.301431e-01	-4.605206e-02	-9.111848e-02
2.300000e+00	9.496699e-01	7.479856e-01	-6.398506e-03	2.249780e-01	-4.256080e-02	-1.154017e-01
2.350000e+00	9.492985e-01	7.590803e-01	-8.420196e-03	2.186127e-01	-3.816306e-02	-1.391027e-01
2.400000e+00	9.488319e-01	7.698274e-01	-1.020128e-02	2.110794e-01	-3.295397e-02	-1.621009e-01
2.450000e+00	9.482831e-01	7.801694e-01	-1.170396e-02	2.024163e-01	-2.704715e-02	-1.842746e-01
2.500000e+00	9.476667e-01	7.900510e-01	-1.289653e-02	1.926677e-01	-2.057273e-02	-2.055023e-01
